numero_titulo,tipo_credor,serie,n,id_cliente,tipo_pagamento,data_emissao,vencimento,data_pagamento,valor_titulo,instituicao,situacao_titulo,codigo_credito,descricao_credito,codigo_debito,descricao_debito,data_hora_lancamento
-715310,3,U,1,5562,2,2025-10-13 00:00:00.000,2025-11-24 00:00:00.000,2025-11-24 00:00:00.000,"1503,59",2,3,NULL,NULL,22,MATERIA PRIMA,Oct 13 2025 12:00AM14:41
1,2,1,1,5874,1,2025-08-12 00:00:00.000,2025-08-15 00:00:00.000,2025-08-15 00:00:00.000,100,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Aug 12 2025 12:00AM16:44
3,2,1,1,5781,1,2025-02-27 00:00:00.000,2025-02-28 00:00:00.000,2025-02-28 00:00:00.000,500,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Feb 27 2025 12:00AM10:57
5,2,1,1,5781,1,2025-04-29 00:00:00.000,2025-04-30 00:00:00.000,2025-04-30 00:00:00.000,350,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Apr 29 2025 12:00AM09:47
5,2,5,1,438,2,2025-02-10 00:00:00.000,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,"2152,53",237,3,NULL,NULL,29,COMISSAO,Feb 10 2025 12:00AM10:09
5,2,5,1,441,2,2025-02-11 00:00:00.000,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,"825,21",237,3,NULL,NULL,29,COMISSAO,Feb 11 2025 12:00AM10:02
7,2,S,1,5798,2,2025-11-13 00:00:00.000,2025-11-20 00:00:00.000,2025-11-21 00:00:00.000,"725,14",2,3,NULL,NULL,29,COMISSAO,Nov 13 2025 12:00AM15:58
8,2,1,1,5833,1,2025-06-23 00:00:00.000,2025-06-24 00:00:00.000,2025-06-24 00:00:00.000,240,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Jun 23 2025 12:00AM14:29
10,2,S,1,4961,2,2025-07-11 00:00:00.000,2025-07-20 00:00:00.000,2025-07-21 00:00:00.000,"2145,06",237,3,NULL,NULL,29,COMISSAO,Jul 11 2025 12:00AM15:41
11,2,1,1,5779,1,2025-03-08 00:00:00.000,2025-03-12 00:00:00.000,2025-03-12 00:00:00.000,30,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Mar  8 2025 12:00AM13:35
11,2,1,1,5781,1,2025-09-24 00:00:00.000,2025-09-25 00:00:00.000,2025-09-25 00:00:00.000,350,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Sep 24 2025 12:00AM14:19
11,2,S,1,438,2,2025-03-09 00:00:00.000,2025-03-20 00:00:00.000,2025-03-20 00:00:00.000,"1954,58",237,3,NULL,NULL,29,COMISSAO,Mar  9 2025 12:00AM09:34
11,2,S,1,441,2,2025-03-07 00:00:00.000,2025-03-20 00:00:00.000,2025-03-20 00:00:00.000,"595,09",237,3,NULL,NULL,29,COMISSAO,Mar  7 2025 12:00AM08:50
11,2,S,1,2587,2,2025-11-11 00:00:00.000,2025-11-20 00:00:00.000,2025-11-21 00:00:00.000,"1488,52",341,3,NULL,NULL,29,COMISSAO,Nov 11 2025 12:00AM15:48
14,2,1,1,5781,1,2025-11-18 00:00:00.000,2025-11-18 00:00:00.000,2025-11-25 00:00:00.000,350,2,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Nov 18 2025 12:00AM17:20
14,2,S,1,5774,2,2025-02-10 00:00:00.000,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,"527,16",237,3,NULL,NULL,29,COMISSAO,Feb 10 2025 12:00AM10:16
14,2,S,1,5798,2,2025-12-08 00:00:00.000,2025-12-22 00:00:00.000,1753-01-01 00:00:00.000,"1704,44",237,1,NULL,NULL,29,COMISSAO,Dec  8 2025 12:00AM13:39
15,2,1,1,5779,1,2025-04-09 00:00:00.000,2025-04-10 00:00:00.000,2025-04-10 00:00:00.000,45,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Apr  9 2025 12:00AM16:04
15,2,S,1,438,2,2025-04-13 00:00:00.000,2025-04-20 00:00:00.000,2025-04-22 00:00:00.000,"1575,98",237,3,NULL,NULL,29,COMISSAO,Apr 13 2025 12:00AM16:32
