Codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C
194347,C,2025-02-19 0:00:00,Lançamento Referente Recebimento Duplicata,"1560,11",53810,100,237,2,0,4,1,502
194395,C,2025-02-20 0:00:00,Lançamento Referente Recebimento Duplicata,"745,81",53811,100,237,2,0,3,1,2838
193602,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"1428,37",53479,100,237,2,0,9,1,478
193603,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"959,18",53555,100,237,2,0,3,1,4894
193604,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"725,55",53654,100,237,2,0,4,1,564
193605,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"3864,55",53688,100,237,2,0,1,1,5657
193606,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"1565,71",53711,100,237,2,0,3,1,4670
193607,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"686,77",53714,100,237,2,0,3,1,1336
193608,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"747,82",53716,100,237,2,0,3,1,1173
193609,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"1080,32",53717,100,237,2,0,2,1,5270
193610,C,2025-01-07 0:00:00,Lançamento Referente Recebimento Duplicata,"3621,23",53768,100,237,2,0,1,1,397
193631,C,2025-01-08 0:00:00,Lançamento Referente Recebimento Duplicata,"1432,56",53927,100,237,2,0,1,1,672
199063,C,2025-11-11 0:00:00,Lançamento Referente Recebimento Duplicata,"1156,69",55909,100,2,2,0,1,1,5913
199064,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"1118,26",55299,100,237,2,0,3,1,5426
199065,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"1061,33",55318,100,237,2,0,3,1,1118
199066,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"1190,61",55424,100,237,2,0,4,1,478
199067,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"2757,98",55597,100,237,2,0,2,1,5900
199068,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"415,74",55598,100,237,2,0,1,1,4453
199069,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"500,00",55603,100,237,2,0,2,1,1049
199070,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"811,35",55703,100,237,2,0,1,1,2339
199071,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"485,64",55704,100,237,2,0,1,1,5662
