Numero,numero_parcela,Tipo_C,Codigo_C,Data_Em,Data_Protesto,Protesto,Data_Ven,Data_Ent,Data_Pag,NumeroBanco,Valor_T,Valor_Base,Valor_Atual,Obs,Instituicao,Situacao,Portador,BoletoTipoCarteira,Instituicao,Situacao,Portador,BoletoTipoCarteira,InstrucaoBoleto
55871,1,1,4408,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2025-11-26 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,09/00000018251-9,"660,7","660,7","660,7","Desconto aplicado na NF no valor de R$        294,04",237,1,237,9,237,1,237,9,BRADESCO
55872,1,1,4255,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-17 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,09/00000018252-7,"833,2","1530,44","833,2","Desconto aplicado na NF no valor de R$        328,11",237,1,237,9,237,1,237,9,BRADESCO
55872,2,1,4255,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-14 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,09/00000018253-5,"697,24","1530,44","697,24","Desconto aplicado na NF no valor de R$        328,11",237,1,237,9,237,1,237,9,BRADESCO
55873,1,1,5753,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-17 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,09/00000018254-3,"680,56","1250,05","680,56",,237,1,237,9,237,1,237,9,BRADESCO
55873,2,1,5753,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-14 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,09/00000018255-1,"569,49","1250,05","569,49",,237,1,237,9,237,1,237,9,BRADESCO
55874,1,1,478,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-24 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,09/00000018256-P,"954,99","1754,14","954,99","Desconto aplicado na NF no valor de R$        376,08",237,1,237,9,237,1,237,9,BRADESCO
55874,2,1,478,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-31 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,09/00000018257-8,"799,15","1754,14","799,15","Desconto aplicado na NF no valor de R$        376,08",237,1,237,9,237,1,237,9,BRADESCO
55875,1,1,4983,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-28 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,"5206,69","5206,69","5206,69",,2,1,2,0,2,1,2,0,
55876,1,1,4571,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-19 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,"2397,35","4403,51","2397,35",,2,1,2,0,2,1,2,0,
55876,2,1,4571,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-17 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,"2006,16","4403,51","2006,16",,2,1,2,0,2,1,2,0,
55878,1,1,5865,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-05 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,"2241,82","2241,82","2241,82",,2,1,2,0,2,1,2,0,
55850,1,1,5181,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,0,2025-11-18 00:00:00.000,2025-11-18 00:00:00.000,2025-11-12 00:00:00.000,,"4557,87","4557,87",0,"Desconto aplicado na NF no valor de R$      2.028,88",2,3,2,0,2,3,2,0,
55851,1,1,4924,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-18 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018239-P,"1811,84","3328,03","1811,84","Desconto aplicado na NF no valor de R$        649,80  Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:25  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55851,2,1,4924,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-19 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018240-3,"1516,19","3328,03","1516,19","Desconto aplicado na NF no valor de R$        649,80  Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:25  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55853,1,1,690,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018241-1,"954,35","954,35","954,35","Desconto aplicado na NF no valor de R$        409,21  Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:26  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55854,1,1,972,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018242-P,"1168,86","1168,86","1168,86","Desconto aplicado na NF no valor de R$        583,62  Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:26  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55855,1,1,500,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018243-8,"954,7","954,7","954,7","Desconto aplicado na NF no valor de R$        409,36  Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:27  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55856,1,1,5871,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018244-6,"813,16","813,16","813,16","Desconto aplicado na NF no valor de R$        111,11  Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:27  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55857,1,1,1290,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018245-4,"1456,72","1456,72","1456,72","Desconto aplicado na NF no valor de R$        568,85  Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:28  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55858,1,1,1468,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-11-28 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018246-2,"2518,94","2518,94","2518,94","Desconto aplicado na NF no valor de R$      1.085,05  Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:28  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55859,1,1,292,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-18 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018249-7,"1446,91","16287,05","1446,91","Impresso formato Gráfico Bradesco. Usuário:LEIA, Data:18/11/2025, Hora:14:51:14, Máquina:FATURAMENTO    Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:28  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55859,2,1,292,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,0,2026-02-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,09/00000018250-0,"14350,42","16287,05","14350,42","DESCONTO DUPLICATA NO VALOR DE R$489,72 REFERENTE ACORDO COMERCIAL VP 3,3% VALOR DOS PRODUTOS  Impresso formato Gráfico Bradesco. Usuário:LEIA, Data:18/11/2025, Hora:14:51:14, Máquina:FATURAMENTO    Data da ocorrência/baixa = 18/11/2025. Executado:19/11/2025 - 07:03:29  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 19/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55860,1,1,5614,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-27 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"7764,12","7764,12","7764,12",,2,1,2,0,2,1,2,0,
